=== ACCELERATOR QUANTIZATION PIPELINE M0/S CONFIG ===

[QKt Dequantize (32->Q5.26)] M0: 1944943637   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1310416147   | S: 5
[.VGeMM Quant (32->8)]       M0: 1415542743   | S: 8
[Wo Quantize (32->8)]        M0: 2055817848   | S: 11
[Add&Norm Quant (?->8)]      M0: 1481095769   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1806092411   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1522039072   | S: 10
[FFN2 Quant (32->8)]         M0: 1240877525   | S: 11

--------------------- LAYER 9 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1328041062   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1313099036   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1518650030   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 1917921658   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1506278218   | S: 5
[.VGeMM Quant (32->8)]       M0: 1463116553   | S: 8
[Wo Quantize (32->8)]        M0: 1577039736   | S: 11
[Add&Norm Quant (?->8)]      M0: 1481596062   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1805482544   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1511626363   | S: 10
[FFN2 Quant (32->8)]         M0: 1087376496   | S: 11

--------------------- LAYER 10 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1342858781   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1296595168   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1461924128   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 1966700741   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1529508551   | S: 5
[.VGeMM Quant (32->8)]       M0: 1347887107   | S: 8
[Wo Quantize (32->8)]        M0: 2106201677   | S: 11
[Add&Norm Quant (?->8)]      M0: 1514610199   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1766125111   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1567838832   | S: 10
[FFN2 Quant (32->8)]         M0: 1968255041   | S: 12

--------------------- LAYER 11 ---------------------
[ATTEN-Quantize (32->8)]     M0: 1421861524   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1430590577   | S: 10
[ATTEN-Quantize (32->8)]     M0: 1359846296   | S: 10
[QKt Dequantize (32->Q5.26)] M0: 1832810226   | S: -12
[Softmax Quant (Q1.15->8)]   M0: 1510971945   | S: 5
[.VGeMM Quant (32->8)]       M0: 1432523331   | S: 8
[Wo Quantize (32->8)]        M0: 1155174891   | S: 10
[Add&Norm Quant (?->8)]      M0: 1395082723   | S: 21
[FFN1 Dequant (32->Q10.22)]  M0: 1917446029   | S: -6
[GELU Quant (Q48.16->8)]     M0: 1514380517   | S: 10
[FFN2 Quant (32->8)]         M0: 1753913888   | S: 12

